Multiple occupations for one geographical area,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Area:National,,,,,,,,,,,,,,,
Period:May 2023,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Occupation (SOC code),Employment(1),Employment percent relative standard error(3),Hourly mean wage,Annual mean wage(2),Wage percent relative standard error(3),Hourly 10th percentile wage,Hourly 25th percentile wage,Hourly median wage,Hourly 75th percentile wage,Hourly 90th percentile wage,Annual 10th percentile wage(2),Annual 25th percentile wage(2),Annual median wage(2),Annual 75th percentile wage(2),Annual 90th percentile wage(2)
Operations Specialties Managers(113000),     2513900,         0.6,       74.59,      155150,         0.3,       36.69,       48.41,       65.47,       88.22,           -,       76320,      100690,      136170,      183500,           -
Administrative Services and Facilities Managers(113010),      373920,         1.2,       56.56,      117650,         0.3,       29.74,       38.54,       50.44,       66.45,       86.41,       61860,       80170,      104900,      138220,      179730
Administrative Services Managers(113012),      242520,         1.3,       58.27,      121200,         0.4,       30.04,       39.15,       51.19,       67.73,       90.78,       62470,       81420,      106470,      140870,      188820
Facilities Managers(113013),      131400,         1.2,       53.42,      111110,         0.4,       29.25,       37.56,       49.20,       64.42,       81.26,       60840,       78130,      102340,      133990,      169020
Computer and Information Systems Managers(113021),      592600,         0.5,       86.88,      180720,         0.3,       48.84,       63.35,       81.50,      102.91,           -,      101590,      131770,      169510,      214050,           -
Financial Managers(113031),      787340,         1.0,       84.05,      174820,         0.5,       39.84,       52.98,       75.05,      101.36,           -,       82870,      110190,      156100,      210830,           -
Industrial Production Managers(113051),      222890,         0.7,       60.53,      125900,         0.3,       34.62,       44.03,       56.24,       72.70,       91.58,       72010,       91590,      116970,      151220,      190480
Purchasing Managers(113061),       77530,         1.2,       70.53,      146710,         0.4,       40.15,       50.62,       65.57,       82.75,      103.45,       83510,      105300,      136380,      172110,      215170
"Transportation, Storage, and Distribution Managers(113071)",      198780,         0.7,       53.79,      111870,         0.3,       28.27,       36.60,       47.69,       63.99,       84.39,       58810,       76120,       99200,      133090,      175530
Compensation and Benefits Managers(113111),       18690,         2.6,       72.57,      150940,         1.2,       36.81,       49.30,       65.57,       87.03,      110.56,       76550,      102540,      136380,      181030,      229970
Human Resources Managers(113121),      200600,         1.3,       74.39,      154740,         0.4,       38.97,       49.68,       65.55,       87.56,           -,       81060,      103340,      136350,      182120,           -
Training and Development Managers(113131),       41540,         2.4,       66.56,      138450,         0.4,       35.29,       45.31,       60.12,       80.19,      105.80,       73410,       94240,      125040,      166780,      220060
Other Management Occupations(119000),     3160340,         0.8,       56.91,      118370,         0.4,       24.85,       35.29,       49.28,       69.68,       96.34,       51690,       73390,      102510,      144930,      200390
"Farmers, Ranchers, and Other Agricultural Managers(119013)",        6150,         4.7,       43.35,       90160,         1.4,       22.98,       30.54,       40.27,       52.45,       65.58,       47800,       63510,       83770,      109090,      136410
Construction Managers(119021),      329190,         2.9,       56.23,      116960,         0.5,       31.00,       39.25,       50.43,       65.17,       82.71,       64480,       81640,      104900,      135550,      172040
Education and Childcare Administrators(119030),      584630,         0.4,       51.84,      107830,         0.3,       26.49,       36.92,       48.05,       62.53,       80.49,       55100,       76790,       99940,      130070,      167430
"Education and Childcare Administrators, Preschool and Daycare(119031)",       64090,         1.7,       29.48,       61320,         1.1,       17.57,       21.36,       26.10,       33.34,       45.62,       36550,       44420,       54290,       69350,       94890
"Education Administrators, Kindergarten through Secondary(119032)",      302580,         0.6,           -,      111020,         0.3,           -,           -,           -,           -,           -,       70050,       83050,      103460,      131180,      163010
"Education Administrators, Postsecondary(119033)",      167270,         0.3,       58.66,      122010,         0.3,       30.27,       38.32,       49.33,       65.97,      100.90,       62970,       79700,      102610,      137230,      209870
"Education Administrators, All Other(119039)",       50690,         1.3,       48.42,      100720,         0.7,       23.78,       31.16,       42.53,       57.75,       76.06,       49470,       64800,       88460,      120120,      158200
Architectural and Engineering Managers(119041),      207800,         2.1,       82.83,      172290,         0.5,       51.63,       63.89,       79.50,       97.61,      112.31,      107390,      132890,      165370,      203030,      233590
Food Service Managers(119051),      246070,         2.1,       33.45,       69580,         0.8,       20.67,       24.22,       30.32,       38.29,       48.67,       42990,       50390,       63060,       79630,      101240
Entertainment and Recreation Managers(119070),       34290,         1.9,       41.34,       85980,         1.1,       21.04,       26.64,       36.16,       48.43,       65.39,       43760,       55400,       75210,      100730,      136020
Gambling Managers(119071),        4590,         1.6,       47.24,       98270,         1.1,       24.01,       31.35,       39.61,       54.67,       76.66,       49940,       65210,       82380,      113720,      159440
"Entertainment and Recreation Managers, Except Gambling(119072)",       29690,         2.1,       40.42,       84080,         1.2,       20.54,       25.71,       35.32,       47.68,       64.27,       42730,       53480,       73460,       99170,      133680
Lodging Managers(119081),       41980,         1.7,       36.92,       76790,         1.1,       18.88,       23.74,       31.42,       42.27,       61.10,       39270,       49380,       65360,       87930,      127090
Medical and Health Services Managers(119111),      515100,         0.6,       64.64,      134440,         0.5,       32.65,       41.38,       53.21,       75.79,      104.21,       67900,       86080,      110680,      157640,      216750
Natural Sciences Managers(119121),       96520,         1.5,       81.31,      169120,         1.1,       37.27,       52.55,       75.84,      101.96,           -,       77520,      109300,      157740,      212080,           -
Postmasters and Mail Superintendents(119131),       13810,         0.0,       43.16,       89770,         0.0,       38.01,       39.90,       42.63,       45.99,       50.45,       79060,       82990,       88670,       95660,      104940
"Property, Real Estate, and Community Association Managers(119141)",      284120,         1.1,       37.69,       78400,         1.2,       18.05,       23.05,       30.22,       44.50,       65.38,       37540,       47940,       62850,       92560,      135990
Social and Community Service Managers(119151),      173650,         0.8,       40.10,       83400,         0.7,       23.50,       29.26,       37.03,       47.47,       61.32,       48880,       60860,       77030,       98740,      127550
Emergency Management Directors(119161),       11910,         2.4,       45.05,       93690,         0.5,       24.20,       30.11,       40.37,       53.94,       72.87,       50340,       62630,       83960,      112190,      151560
Personal Service Managers(119170),       25370,         2.4,       36.15,       75190,         1.5,       17.72,       23.57,       31.02,       43.43,       57.57,       36860,       49020,       64520,       90330,      119750
Funeral Home Managers(119171),       14200,         2.5,       40.77,       84800,         1.0,       21.56,       28.68,       36.37,       47.39,       63.16,       44830,       59650,       75660,       98560,      131360
"Personal Service Managers, All Other(119179)",       11170,         6.6,       30.28,       62980,         2.6,       14.90,       19.91,       27.68,       35.41,       48.03,       31000,       41410,       57570,       73650,       99900
"Managers, All Other(119199)",      589750,         1.3,       70.35,      146320,         0.3,       32.39,       47.11,       64.21,       83.90,      108.23,       67370,       97990,      133560,      174510,      225120
Business and Financial Operations Occupations(130000),    10087830,         0.6,       43.55,       90580,         0.3,       21.86,       28.65,       38.00,       50.66,       67.55,       45480,       59590,       79050,      105360,      140490
Business Operations Specialists(131000),     7048350,         0.8,       42.33,       88040,         0.3,       21.55,       28.20,       37.74,       50.33,       65.78,       44810,       58660,       78500,      104690,      136820
"Agents and Business Managers of Artists, Performers, and Athletes(131011)",       12870,         7.0,       63.85,      132810,         4.5,       22.65,       29.94,       40.82,       62.46,           -,       47100,       62280,       84900,      129930,           -
Buyers and Purchasing Agents(131020),      477980,         1.0,       37.43,       77850,         0.4,       21.00,       26.40,       34.59,       45.63,       58.50,       43680,       54910,       71950,       94910,      121680
"Claims Adjusters, Appraisers, Examiners, and Investigators(131030)",      302450,         0.9,       36.43,       75760,         0.3,       22.84,       28.33,       36.07,       43.59,       50.61,       47510,       58920,       75020,       90670,      105260
"Claims Adjusters, Examiners, and Investigators(131031)",      293780,         0.9,       36.43,       75770,         0.3,       22.79,       28.26,       36.08,       43.80,       50.69,       47390,       58770,       75050,       91100,      105440
"Insurance Appraisers, Auto Damage(131032)",        8670,         4.7,       36.37,       75660,         0.8,       27.35,       30.62,       35.83,       39.78,       48.19,       56890,       63690,       74520,       82740,      100240
Compliance Officers(131041),      383620,         0.4,       38.55,       80190,         0.3,       21.05,       27.01,       36.38,       48.24,       59.48,       43790,       56180,       75670,      100340,      123710
Cost Estimators(131051),      220970,         0.8,       38.23,       79520,         0.5,       21.55,       27.47,       35.94,       46.51,       59.87,       44820,       57130,       74740,       96740,      124520
Human Resources Workers(131070),      959230,         1.5,       37.15,       77260,         0.3,       20.75,       25.07,       33.42,       45.55,       59.78,       43160,       52140,       69520,       94730,      124330
Human Resources Specialists(131071),      895970,         1.6,       36.57,       76060,         0.3,       20.62,       24.76,       32.53,       44.42,       58.56,       42900,       51510,       67650,       92390,      121800
Farm Labor Contractors(131074),         460,        24.9,       24.71,       51400,        10.9,       12.84,       15.37,       21.98,       30.76,       43.10,       26700,       31970,       45730,       63980,       89640
Labor Relations Specialists(131075),       62800,         1.1,       45.49,       94620,         0.9,       23.25,       31.56,       43.26,       57.99,       67.08,       48360,       65650,       89980,      120610,      139520
Logisticians and Project Management Specialists(131080),     1176100,         1.1,       48.55,      100980,         0.5,       26.13,       33.62,       45.49,       60.81,       76.58,       54350,       69920,       94630,      126480,      159290
Logisticians(131081),      228470,         0.9,       40.69,       84640,         0.4,       23.07,       29.54,       38.17,       48.99,       61.80,       47990,       61440,       79400,      101890,      128550
Project Management Specialists(131082),      947630,         1.2,       50.44,      104920,         0.5,       27.65,       35.62,       47.39,       62.35,       78.39,       57500,       74100,       98580,      129690,      163040
Management Analysts(131111),      838140,         1.6,       55.54,      115530,         1.4,       27.81,       35.84,       47.80,       62.89,       82.83,       57840,       74540,       99410,      130800,      172280
"Meeting, Convention, and Event Planners(131121)",      122130,         1.3,       29.94,       62280,         0.7,       16.54,       20.89,       27.36,       35.82,       47.60,       34410,       43450,       56920,       74510,       99010
Fundraisers(131131),      101730,         2.3,       34.02,       70760,         0.8,       18.96,       23.83,       30.85,       39.96,       51.30,       39440,       49560,       64160,       83120,      106700
"Compensation, Benefits, and Job Analysis Specialists(131141)",       99850,         1.3,       38.76,       80620,         0.9,       22.14,       27.35,       35.83,       47.10,       61.22,       46050,       56890,       74530,       97960,      127340
Training and Development Specialists(131151),      403480,         0.7,       34.60,       71980,         0.5,       17.33,       22.84,       30.94,       42.26,       55.84,       36050,       47510,       64340,       87890,      116140
Market Research Analysts and Marketing Specialists(131161),      846370,         0.9,       40.00,       83190,         0.4,       19.25,       25.40,       35.90,       49.26,       65.89,       40040,       52840,       74680,      102450,      137040
"Business Operations Specialists, All Other(131199)",     1103440,         0.4,       42.85,       89130,         0.4,       21.33,       28.37,       38.26,       51.10,       67.45,       44370,       59010,       79590,      106300,      140300
Financial Specialists(132000),     3039480,         0.5,       46.37,       96460,         0.4,       22.60,       29.44,       38.50,       51.69,       76.14,       47000,       61240,       80090,      107520,      158360
Accountants and Auditors(132011),     1435770,         0.4,       43.65,       90780,         0.3,       24.25,       30.15,       38.41,       49.99,       66.00,       50440,       62720,       79880,      103990,      137280
Property Appraisers and Assessors(132020),       62090,         6.0,       36.59,       76110,         4.7,       17.42,       22.39,       29.63,       40.19,       56.05,       36230,       46560,       61630,       83600,      116580
Budget Analysts(132031),       47310,         0.6,       43.69,       90880,         0.4,       27.29,       32.95,       40.84,       51.67,       63.29,       56760,       68540,       84940,      107470,      131630
Credit Analysts(132041),       73200,         1.2,       45.56,       94750,         0.6,       24.07,       29.62,       38.18,       52.13,       79.21,       50060,       61600,       79420,      108430,      164750
Financial Analysts and Advisors(132050),      753990,         0.8,       59.29,      123330,         0.8,       25.74,       33.65,       46.85,       64.38,      101.70,       53540,       69990,       97450,      133910,      211540
Financial and Investment Analysts(132051),      325220,         0.8,       54.30,      112950,         0.6,       29.25,       36.96,       47.60,       62.49,       84.54,       60830,       76880,       99010,      129970,      175840
Personal Financial Advisors(132052),      272190,         1.4,       72.44,      150670,         1.7,       23.43,       31.41,       47.88,       81.69,           -,       48730,       65320,       99580,      169910,           -
Insurance Underwriters(132053),      101310,         3.5,       41.16,       85610,         0.7,       23.31,       29.50,       37.44,       49.04,       63.47,       48480,       61370,       77860,      102000,      132010
Financial Risk Specialists(132054),       55290,         1.3,       57.19,      118950,         0.6,       29.37,       38.05,       51.01,       67.80,       88.62,       61090,       79140,      106090,      141030,      184330
Financial Examiners(132061),       63440,         1.3,       47.18,       98140,         0.4,       23.90,       30.49,       40.53,       58.31,       79.65,       49710,       63430,       84300,      121280,      165670
Credit Counselors and Loan Officers(132070),      349040,         0.8,       39.43,       82000,         0.5,       17.84,       23.19,       31.39,       47.15,       65.10,       37120,       48230,       65280,       98080,      135400
Credit Counselors(132071),       27950,         2.1,       25.69,       53440,         0.6,       18.01,       20.18,       23.35,       28.84,       36.07,       37460,       41980,       48570,       59990,       75030
Loan Officers(132072),      321090,         0.8,       40.62,       84490,         0.5,       17.80,       23.62,       33.65,       48.09,       67.05,       37020,       49130,       69990,      100020,      139470
"Tax Examiners, Collectors and Preparers, and Revenue Agents(132080)",      131910,         1.5,       29.28,       60900,         0.7,       14.85,       18.46,       26.00,       36.92,       48.82,       30880,       38390,       54080,       76800,      101550
"Tax Examiners and Collectors, and Revenue Agents(132081)",       50250,         0.4,       31.43,       65370,         0.1,       18.12,       21.81,       28.14,       37.75,       51.76,       37690,       45360,       58530,       78520,      107660
Tax Preparers(132082),       81650,         2.4,       27.96,       58160,         1.2,       14.02,       17.15,       23.56,       36.55,       47.50,       29170,       35670,       49010,       76020,       98810
"Financial Specialists, All Other(132099)",      122730,         1.2,       43.10,       89650,         0.9,       20.92,       27.85,       37.65,       50.51,       67.29,       43510,       57930,       78310,      105060,      139960
Computer and Mathematical Occupations(150000),     5177400,         0.2,       54.39,      113140,         0.4,       24.93,       35.53,       50.10,       67.81,       84.98,       51850,       73900,      104200,      141040,      176760
Computer Occupations(151200),     4804840,         0.2,       54.46,      113270,         0.4,       24.71,       35.46,       50.20,       68.04,       85.09,       51400,       73750,      104420,      141530,      176980
Computer and Information Analysts(151210),      674170,         0.6,       55.01,      114420,         0.4,       30.81,       39.40,       50.88,       65.52,       81.65,       64080,       81950,      105830,      136280,      169830
Computer Systems Analysts(151211),      498810,         0.8,       53.27,      110800,         0.5,       30.40,       38.64,       49.90,       63.74,       79.66,       63230,       80380,      103800,      132580,      165700
Information Security Analysts(151212),      175350,         1.1,       59.97,      124740,         0.5,       33.28,       43.29,       57.87,       73.82,       87.68,       69210,       90050,      120360,      153550,      182370
Computer and Information Research Scientists(151221),       35210,         3.7,       75.56,      157160,         1.0,       39.16,       52.88,       69.75,       89.02,      112.07,       81450,      109990,      145080,      185160,      233110
Computer Support Specialists(151230),      848420,         0.7,       31.95,       66450,         0.4,       18.51,       22.92,       29.24,       37.76,       48.67,       38490,       47670,       60810,       78540,      101230
Computer Network Support Specialists(151231),      158720,         1.4,       37.81,       78640,         0.7,       21.95,       26.30,       34.39,       44.50,       58.61,       45660,       54700,       71530,       92570,      121920
Computer User Support Specialists(151232),      689700,         0.9,       30.60,       63640,         0.4,       18.12,       22.38,       28.48,       36.52,       46.65,       37690,       46550,       59240,       75950,       97020
Database and Network Administrators and Architects(151240),      633180,         0.7,       54.67,      113710,         0.6,       29.70,       38.46,       50.83,       66.23,       82.30,       61770,       79990,      105720,      137760,      171190
Computer Network Architects(151241),      174100,         1.3,       64.39,      133930,         0.7,       37.48,       48.14,       62.42,       78.88,       93.75,       77960,      100120,      129840,      164080,      195000
Database Administrators(151242),       76140,         1.4,       50.39,      104810,         0.8,       26.12,       34.59,       48.80,       64.00,       75.82,       54320,       71940,      101510,      133120,      157710
Database Architects(151243),       59920,         3.6,       65.88,      137030,         1.7,       36.54,       50.16,       64.76,       80.18,       93.73,       76000,      104330,      134700,      166780,      194960
Network and Computer Systems Administrators(151244),      323020,         0.7,       48.36,      100580,         0.5,       28.21,       35.77,       45.84,       58.61,       71.49,       58680,       74400,       95360,      121910,      148710
"Software and Web Developers, Programmers, and Testers(151250)",     2176710,         0.5,       62.74,      130500,         0.3,       32.18,       44.54,       61.11,       78.66,       97.47,       66930,       92650,      127120,      163610,      202730
Computer Programmers(151251),      120370,         2.4,       51.80,      107750,         1.1,       28.34,       35.87,       47.94,       62.33,       80.40,       58950,       74610,       99700,      129650,      167230
Software Developers(151252),     1656880,         0.7,       66.40,      138110,         0.4,       37.03,       48.65,       63.59,       80.55,      100.30,       77020,      101200,      132270,      167540,      208620
Software Quality Assurance Analysts and Testers(151253),      203040,         1.1,       52.15,      108460,         0.6,       28.24,       37.72,       48.94,       62.80,       79.10,       58740,       78470,      101800,      130630,      164520
Web Developers(151254),       85350,         4.8,       45.95,       95570,         1.9,       22.53,       29.66,       40.84,       55.95,       75.61,       46850,       61690,       84960,      116370,      157280
Web and Digital Interface Designers(151255),      111060,         3.0,       52.32,      108820,         0.8,       23.18,       31.74,       47.37,       67.07,       84.85,       48210,       66020,       98540,      139500,      176490
"Computer Occupations, All Other(151299)",      437170,         0.8,       54.05,      112430,         0.5,       23.89,       34.61,       50.44,       68.18,       83.80,       49690,       71990,      104920,      141820,      174300
Mathematical Science Occupations(152000),      372550,         0.7,       53.53,      111340,         0.4,       27.95,       36.35,       48.78,       65.36,       83.73,       58130,       75610,      101460,      135950,      174160
Actuaries(152011),       25470,         2.6,       63.70,      132500,         1.4,       36.24,       42.51,       57.69,       79.00,      100.63,       75380,       88420,      120000,      164320,      209310
Mathematicians(152021),        2220,         2.5,       57.58,      119770,         0.9,       29.93,       39.38,       55.98,       71.27,       88.22,       62260,       81910,      116440,      148240,      183500
Operations Research Analysts(152031),      117880,         1.2,       45.96,       95600,         0.6,       25.45,       31.85,       40.21,       55.38,       71.60,       52930,       66250,       83640,      115190,      148920
Statisticians(152041),       29950,         3.2,       52.50,      109190,         0.8,       28.22,       37.57,       50.05,       64.88,       78.54,       58690,       78140,      104110,      134950,      163360
Data Scientists(152051),      192710,         1.2,       57.23,      119040,         0.4,       29.36,       38.37,       51.93,       70.99,       88.51,       61070,       79810,      108020,      147670,      184090
"Mathematical Science Occupations, All Other(152099)",        4320,         5.3,       40.06,       83330,         4.0,       18.46,       23.94,       33.95,       47.95,       74.59,       38400,       49800,       70620,       99730,      155150
Architecture and Engineering Occupations(170000),     2539660,         0.5,       47.64,       99090,         0.4,       24.58,       32.52,       43.95,       59.68,       76.74,       51130,       67640,       91420,      124130,      159630
"Architects, Surveyors, and Cartographers(171000)",      194610,         1.2,       43.48,       90430,         0.8,       23.43,       30.23,       38.87,       49.57,       63.91,       48740,       62880,       80850,      103100,      132940
"Architects, Except Naval(171010)",      131540,         1.4,       47.05,       97860,         1.1,       27.59,       32.90,       41.25,       52.58,       68.23,       57400,       68420,       85800,      109360,      141910
"Architects, Except Landscape and Naval(171011)",      111170,         1.3,       48.27,      100400,         1.3,       28.31,       35.21,       44.86,       56.14,       72.74,       58870,       73240,       93310,      116780,      151300
Landscape Architects(171012),       20370,         6.1,       40.38,       83990,         1.1,       24.04,       29.58,       38.13,       46.71,       60.38,       50000,       61520,       79320,       97170,      125600
"Surveyors, Cartographers, and Photogrammetrists(171020)",       63070,         3.1,       36.03,       74940,         0.7,       20.70,       25.60,       34.04,       44.39,       53.25,       43050,       53260,       70810,       92320,      110760
Cartographers and Photogrammetrists(171021),       12330,         4.0,       37.89,       78810,         0.8,       23.39,       29.06,       36.64,       45.97,       54.59,       48660,       60430,       76210,       95610,      113540
Surveyors(171022),       50740,         3.9,       35.58,       74000,         0.8,       19.92,       24.51,       32.95,       44.00,       52.72,       41430,       50970,       68540,       91520,      109660
Engineers(172000),     1703700,         0.9,       53.79,      111890,         0.4,       31.54,       38.75,       49.36,       63.82,       80.84,       65610,       80600,      102660,      132750,      168150
Aerospace Engineers(172011),       66660,         1.6,       64.58,      134330,         0.7,       39.24,       48.91,       62.85,       80.10,       90.82,       81620,      101730,      130720,      166610,      188910
Agricultural Engineers(172021),        1860,        19.8,       44.95,       93490,         2.1,       29.88,       38.28,       42.67,       48.57,       61.34,       62150,       79620,       88750,      101030,      127590
Bioengineers and Biomedical Engineers(172031),       19320,         3.5,       51.30,      106700,         0.8,       32.74,       39.12,       48.43,       60.47,       74.21,       68100,       81370,      100730,      125780,      154350
Chemical Engineers(172041),       21140,         3.3,       59.09,      122910,         2.1,       36.37,       44.05,       53.90,       68.66,       84.82,       75650,       91630,      112100,      142810,      176420
Civil Engineers(172051),      327950,         1.5,       48.64,      101160,         0.5,       30.40,       36.78,       46.10,       59.14,       72.42,       63220,       76500,       95890,      123010,      150640
Computer Hardware Engineers(172061),       82660,         2.3,       71.04,      147770,         1.3,       39.25,       52.24,       66.38,       84.33,      102.29,       81630,      108670,      138080,      175400,      212770
Electrical and Electronics Engineers(172070),      281840,         1.5,       57.65,      119910,         0.5,       35.00,       41.02,       52.41,       67.43,       84.15,       72800,       85330,      109010,      140250,      175040
Electrical Engineers(172071),      185430,         1.8,       56.58,      117680,         0.7,       33.33,       40.00,       51.42,       65.93,       82.72,       69320,       83200,      106950,      137140,      172050
"Electronics Engineers, Except Computer(172072)",       96410,         1.5,       59.71,      124190,         0.6,       36.87,       44.90,       57.31,       72.89,       86.39,       76700,       93380,      119200,      151610,      179690
Environmental Engineers(172081),       39880,         2.2,       50.89,      105840,         0.7,       30.47,       37.81,       48.12,       60.35,       75.26,       63370,       78640,      100090,      125520,      156530
"Industrial Engineers, Including Health and Safety(172110)",      355380,         0.6,       49.76,      103510,         0.5,       31.34,       38.35,       47.84,       59.87,       70.00,       65190,       79770,       99500,      124540,      145600
"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors(172111)",       22510,         2.5,       52.28,      108740,         0.8,       29.90,       39.31,       49.85,       63.30,       77.21,       62190,       81760,      103690,      131670,      160600
Industrial Engineers(172112),      332870,         0.7,       49.59,      103150,         0.5,       31.40,       38.33,       47.78,       59.62,       68.38,       65320,       79730,       99380,      124000,      142220
Marine Engineers and Naval Architects(172121),        9960,         7.4,       51.98,      108110,         1.8,       36.95,       38.76,       48.21,       61.00,       75.31,       76860,       80620,      100270,      126870,      156630
Materials Engineers(172131),       24630,         1.8,       53.09,      110430,         0.7,       30.45,       38.84,       50.05,       63.99,       79.60,       63340,       80790,      104100,      133090,      165580
Mechanical Engineers(172141),      281290,         1.6,       50.59,      105220,         0.5,       31.04,       38.06,       47.84,       61.05,       75.71,       64560,       79160,       99510,      126990,      157470
"Mining and Geological Engineers, Including Mining Safety Engineers(172151)",        7040,         6.0,       50.70,      105460,         2.9,       26.51,       37.37,       48.39,       61.98,       77.32,       55150,       77730,      100640,      128920,      160820
Nuclear Engineers(172161),       12710,         7.1,       61.03,      126950,         0.8,       39.50,       48.32,       60.32,       68.61,       83.66,       82150,      100500,      125460,      142700,      174020
Petroleum Engineers(172171),       20390,         3.6,       71.44,      148590,         1.5,       37.18,       50.01,       65.23,       85.09,      108.62,       77340,      104020,      135690,      176990,      225920
"Engineers, All Other(172199)",      150990,         1.3,       56.90,      118350,         0.5,       29.87,       40.03,       53.83,       70.22,       85.10,       62130,       83250,      111970,      146060,      177020
"Drafters, Engineering Technicians, and Mapping Technicians(173000)",      641350,         0.6,       32.55,       67700,         0.3,       19.34,       23.96,       30.34,       38.45,       48.00,       40230,       49830,       63100,       79970,       99850
Drafters(173010),      193180,         1.4,       32.13,       66840,         0.4,       19.78,       24.17,       30.06,       37.75,       46.99,       41130,       50270,       62530,       78520,       97730
Architectural and Civil Drafters(173011),      111070,         2.3,       31.25,       65000,         0.6,       19.09,       23.88,       29.72,       37.03,       45.47,       39720,       49660,       61820,       77020,       94580
Electrical and Electronics Drafters(173012),       20680,         3.1,       35.15,       73110,         0.8,       22.34,       26.43,       33.30,       40.32,       49.78,       46470,       54970,       69260,       83870,      103530
Mechanical Drafters(173013),       44850,         1.4,       33.62,       69920,         0.6,       20.88,       25.00,       30.80,       39.13,       49.09,       43420,       52000,       64060,       81380,      102110
"Drafters, All Other(173019)",       16580,         4.1,       30.28,       62980,         0.9,       18.75,       23.00,       28.49,       35.62,       43.94,       39000,       47840,       59260,       74090,       91400
"Engineering Technologists and Technicians, Except Drafters(173020)",      392120,         0.6,       33.69,       70080,         0.4,       20.56,       24.72,       31.17,       39.41,       49.16,       42750,       51410,       64840,       81960,      102260
Aerospace Engineering and Operations Technologists and Technicians(173021),       10640,         4.0,       39.08,       81280,         1.4,       24.06,       29.56,       37.42,       47.81,       54.79,       50050,       61490,       77830,       99440,      113970
Civil Engineering Technologists and Technicians(173022),       63560,         2.2,       30.66,       63770,         0.9,       18.81,       23.04,       29.18,       36.81,       43.75,       39120,       47920,       60700,       76570,       91010
Electrical and Electronic Engineering Technologists and Technicians(173023),       97420,         1.1,       35.79,       74440,         0.4,       22.32,       27.88,       35.00,       41.19,       50.63,       46420,       57990,       72800,       85680,      105320
Electro-Mechanical and Mechatronics Technologists and Technicians(173024),       15360,         3.0,       34.82,       72430,         0.9,       21.26,       24.83,       31.29,       39.90,       50.33,       44210,       51650,       65080,       82990,      104690
Environmental Engineering Technologists and Technicians(173025),       13780,         4.9,       28.26,       58780,         1.3,       17.38,       21.79,       25.96,       33.07,       40.69,       36150,       45330,       54000,       68790,       84640
